Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1288.000;51.520;-0.105;7.719;-1.049;-0.116;15.077;-0.203;-0.025;28.222;3.611;-0.174;44.104;4.357;-0.011;48.063;7.462;0.386;54.520;8.419;-6.452;58.664;9.155;7.322;58.560;8.677;-2.580;60.731;16.478;3.998;60.682;16.250;-1.771;39.036;2.608;-15.719;37.182;4.423;-20.526;24.281;2.428;-25.839;10.021;0.223;-21.125;9.520;12.154;-15.767;8.911;26.167;-16.250;7.270;27.010;-13.600;5.879;33.808;-12.451;6.335;35.951;-11.290;6.516;38.349;-10.606;6.836;39.841;-16.328;8.112;27.036;-14.853;8.088;34.307;-12.804;8.769;37.859;-11.294;9.336;40.338;-10.240;9.690;42.054;-15.617;9.398;26.684;-14.839;10.614;34.513;-12.827;10.907;38.034;-10.862;11.562;40.755;-9.835;11.880;42.635;-15.873;10.426;26.396;-14.505;12.906;33.757;-12.319;13.330;36.890;-10.469;13.571;39.046;-9.095;13.424;40.580;-14.668;11.040;28.008;-13.958;14.258;29.644;-12.368;15.372;31.646;-12.172;17.956;32.691;1.456;39.070;2.543;15.648;36.185;3.665;20.549;22.649;1.569;25.965;7.689;-0.748;21.664;9.256;11.165;16.722;10.871;25.821;16.593;9.203;26.977;15.872;8.253;33.493;14.795;8.010;36.222;13.251;8.002;38.294;12.321;8.173;39.713;16.720;10.108;27.001;17.155;10.373;33.561;15.542;10.436;37.657;13.684;10.651;40.374;12.398;10.897;42.011;16.389;11.394;27.121;17.487;12.619;33.967;16.067;12.900;38.379;14.253;13.098;40.806;12.899;13.488;42.477;16.457;12.275;26.862;17.269;15.153;33.563;16.461;15.790;37.286;15.181;15.776;39.537;13.896;15.915;41.353;15.979;13.222;27.293;16.475;16.603;29.075;16.632;18.229;31.899;17.002;20.836;32.699;0.000;0.000;0.000;-7.382;-12.225;2.158;-9.314;-24.953;19.816;-11.578;-39.897;40.545;-10.122;-71.670;7.003;7.755;-12.322;0.668;12.405;-25.574;18.239;17.860;-41.133;38.866;12.070;-71.567;5.290
1289.000;51.560;-0.106;7.717;-1.056;-0.121;15.076;-0.219;-0.038;28.224;3.578;-0.194;44.107;4.307;-0.034;48.069;7.412;0.362;54.527;8.371;-6.475;58.673;9.110;7.299;58.565;8.619;-2.595;60.745;16.428;3.982;60.694;16.194;-1.789;39.036;2.564;-15.736;37.180;4.379;-20.543;24.275;2.402;-25.857;10.012;0.216;-21.155;9.550;12.155;-15.814;8.990;26.175;-16.280;7.343;27.024;-13.606;5.999;33.797;-12.436;6.498;35.935;-11.228;6.707;38.311;-10.525;7.052;39.788;-16.379;8.183;27.053;-14.867;8.166;34.310;-12.792;8.895;37.825;-11.299;9.462;40.314;-10.240;9.819;42.027;-15.669;9.474;26.695;-14.926;10.706;34.510;-12.857;11.014;37.999;-10.873;11.668;40.702;-9.826;12.013;42.566;-15.934;10.497;26.406;-14.608;12.994;33.756;-12.407;13.416;36.878;-10.567;13.671;39.016;-9.176;13.538;40.536;-14.793;11.118;28.056;-13.810;14.289;29.693;-12.200;15.383;31.630;-11.852;18.030;32.456;1.438;39.071;2.499;15.632;36.199;3.624;20.548;22.662;1.560;25.980;7.699;-0.721;21.653;9.259;11.189;16.676;10.873;25.846;16.562;9.198;26.995;15.845;8.247;33.506;14.775;7.986;36.235;13.220;7.967;38.306;12.282;8.126;39.722;16.677;10.105;27.019;17.101;10.362;33.581;15.467;10.415;37.668;13.565;10.620;40.358;12.252;10.841;41.978;16.336;11.372;27.150;17.375;12.630;33.988;15.936;12.883;38.384;14.102;13.069;40.792;12.715;13.439;42.441;16.390;12.254;26.890;17.148;15.158;33.585;16.289;15.777;37.295;14.978;15.742;39.523;13.663;15.846;41.319;15.923;13.200;27.299;16.359;16.596;29.097;16.541;18.209;31.926;16.827;20.822;32.740;0.000;0.000;0.000;-7.383;-12.223;2.169;-9.315;-24.949;19.829;-11.579;-39.889;40.560;-10.124;-71.670;7.021;7.755;-12.321;0.678;12.403;-25.568;18.253;17.857;-41.121;38.884;12.062;-71.561;5.312
1290.000;51.600;-0.109;7.715;-1.067;-0.127;15.073;-0.243;-0.052;28.224;3.526;-0.220;44.108;4.248;-0.057;48.073;7.365;0.348;54.528;8.352;-6.485;58.679;9.096;7.287;58.563;8.572;-2.587;60.772;16.398;3.990;60.716;16.147;-1.811;39.035;2.507;-15.759;37.178;4.347;-20.554;24.281;2.409;-25.853;10.028;0.267;-21.118;9.655;12.196;-15.736;9.207;26.205;-16.186;7.556;27.058;-13.403;6.275;33.794;-12.202;6.864;35.908;-10.990;7.159;38.247;-10.221;7.547;39.680;-16.325;8.389;27.096;-14.790;8.371;34.336;-12.622;9.071;37.796;-11.101;9.673;40.274;-10.060;10.036;41.996;-15.611;9.715;26.720;-14.927;10.913;34.527;-12.756;11.275;37.946;-10.742;11.943;40.631;-9.674;12.300;42.481;-15.922;10.724;26.433;-14.700;13.227;33.768;-12.438;13.656;36.850;-10.553;13.909;38.984;-9.192;13.786;40.532;-14.823;11.356;28.135;-13.452;14.446;29.780;-11.774;15.501;31.554;-11.264;18.204;32.044;1.416;39.072;2.442;15.609;36.222;3.566;20.563;22.691;1.543;26.039;7.736;-0.694;21.644;9.219;11.211;16.584;10.742;25.866;16.498;9.064;27.008;15.795;8.046;33.512;14.751;7.764;36.235;13.206;7.729;38.306;12.252;7.871;39.713;16.601;9.972;27.034;17.026;10.209;33.596;15.428;10.227;37.680;13.441;10.378;40.339;12.108;10.550;41.949;16.236;11.202;27.188;17.228;12.467;34.011;15.791;12.672;38.401;13.926;12.818;40.783;12.483;13.175;42.386;16.266;12.085;26.930;16.978;15.002;33.619;16.100;15.564;37.320;14.765;15.516;39.534;13.385;15.579;41.283;15.769;13.045;27.297;16.151;16.443;29.148;16.285;18.041;32.031;16.525;20.660;32.838;0.000;0.000;0.000;-7.378;-12.223;2.183;-9.304;-24.945;19.843;-11.560;-39.880;40.573;-10.121;-71.662;7.039;7.760;-12.318;0.693;12.409;-25.563;18.269;17.864;-41.112;38.901;12.077;-71.555;5.327
1291.000;51.640;-0.112;7.717;-1.086;-0.138;15.082;-0.283;-0.081;28.251;3.446;-0.284;44.132;4.197;-0.119;48.088;7.361;0.296;54.515;8.468;-6.520;58.694;9.203;7.248;58.532;8.594;-2.570;60.864;16.455;4.005;60.787;16.164;-1.866;39.059;2.449;-15.811;37.242;4.341;-20.536;24.329;2.562;-25.757;10.057;0.596;-20.924;10.112;12.454;-15.424;10.177;26.379;-15.765;8.481;27.239;-12.720;7.474;33.907;-11.438;8.171;35.913;-10.054;8.588;38.152;-9.185;9.086;39.491;-15.988;9.296;27.294;-14.348;9.316;34.499;-12.019;10.123;37.839;-10.564;10.779;40.315;-9.512;11.174;42.023;-15.358;10.696;26.887;-14.771;11.852;34.699;-12.515;12.276;38.059;-10.469;13.086;40.668;-9.340;13.490;42.471;-15.740;11.665;26.606;-14.777;14.200;33.949;-12.449;14.743;37.026;-10.606;15.177;39.140;-9.230;15.146;40.679;-14.622;12.374;28.366;-12.804;15.262;30.010;-10.818;15.997;31.690;-9.977;18.612;32.206;1.361;39.104;2.380;15.563;36.307;3.512;20.610;22.795;1.569;26.188;7.860;-0.578;21.566;9.151;11.293;16.231;10.453;25.916;16.220;8.748;27.020;15.640;7.615;33.500;14.565;7.288;36.222;13.015;7.183;38.280;12.056;7.279;39.688;16.285;9.659;27.058;16.808;9.801;33.620;15.138;9.703;37.676;13.043;9.744;40.265;11.642;9.858;41.822;15.861;10.892;27.260;16.912;12.075;34.056;15.422;12.148;38.441;13.413;12.167;40.729;11.852;12.429;42.236;15.863;11.779;27.014;16.528;14.571;33.720;15.635;15.045;37.404;14.197;14.820;39.573;12.730;14.813;41.250;15.300;12.693;27.356;15.515;16.068;29.325;15.501;17.565;32.328;15.353;20.088;33.414;0.000;0.000;0.000;-7.376;-12.220;2.209;-9.297;-24.934;19.868;-11.549;-39.861;40.597;-10.123;-71.651;7.070;7.762;-12.314;0.722;12.406;-25.556;18.299;17.855;-41.101;38.933;12.080;-71.540;5.357
1292.000;51.680;-0.116;7.731;-1.120;-0.154;15.117;-0.344;-0.131;28.332;3.344;-0.367;44.209;4.164;-0.194;48.130;7.409;0.230;54.476;8.738;-6.563;58.696;9.466;7.197;58.467;8.712;-2.526;60.990;16.631;4.045;60.881;16.271;-1.943;39.140;2.400;-15.878;37.361;4.433;-20.508;24.360;3.102;-25.626;9.991;1.630;-20.517;11.173;13.238;-14.673;12.596;26.856;-14.981;10.911;27.858;-11.863;10.618;34.518;-10.469;11.714;36.332;-9.004;12.478;38.374;-8.045;13.290;39.478;-15.285;11.700;27.863;-13.696;12.325;35.030;-11.196;13.563;38.086;-9.669;14.459;40.463;-8.616;15.002;42.130;-14.630;13.070;27.386;-14.349;14.839;35.005;-12.015;15.707;38.197;-9.945;16.812;40.672;-8.756;17.467;42.360;-15.019;14.011;26.993;-14.527;17.143;34.080;-12.305;18.137;37.113;-10.484;18.862;39.200;-9.179;19.071;40.787;-14.000;14.873;28.740;-11.903;17.637;30.368;-9.838;18.067;32.038;-8.458;20.454;32.488;1.283;39.192;2.319;15.492;36.485;3.464;20.708;23.001;1.729;26.472;8.098;-0.188;21.331;8.960;11.570;15.349;9.756;26.083;15.574;8.096;27.146;15.138;6.753;33.568;14.062;6.297;36.265;12.440;5.996;38.244;11.385;6.009;39.584;15.556;9.008;27.204;16.099;9.055;33.748;14.237;8.640;37.701;11.892;8.448;40.061;10.347;8.325;41.474;14.973;10.060;27.477;15.886;11.318;34.203;14.183;11.100;38.505;12.056;10.824;40.634;10.325;10.847;41.970;14.844;10.941;27.245;15.206;13.721;33.938;14.166;13.896;37.606;12.681;13.411;39.670;11.130;13.149;41.249;14.298;11.827;27.554;13.744;15.075;29.776;13.331;16.265;32.927;12.481;18.288;34.589;0.000;0.000;0.000;-7.376;-12.212;2.254;-9.303;-24.909;19.914;-11.561;-39.816;40.645;-10.130;-71.631;7.139;7.764;-12.310;0.779;12.391;-25.542;18.361;17.821;-41.077;39.001;12.076;-71.520;5.426
1293.000;51.720;-0.118;7.743;-1.169;-0.170;15.151;-0.436;-0.185;28.419;3.183;-0.481;44.293;4.037;-0.288;48.177;7.420;0.162;54.390;9.121;-6.614;58.634;9.867;7.133;58.370;8.911;-2.466;61.064;16.924;4.098;60.938;16.467;-2.048;39.222;2.273;-15.951;37.435;4.520;-20.431;24.272;4.142;-25.382;9.723;3.724;-19.983;12.846;14.745;-13.769;16.568;27.638;-14.091;15.008;28.923;-11.288;16.159;35.543;-9.890;17.700;36.958;-8.196;19.037;38.519;-7.148;20.092;39.283;-14.425;15.769;28.763;-13.208;17.792;35.693;-10.548;19.770;38.137;-8.949;21.237;40.151;-7.780;22.179;41.539;-13.729;17.073;28.160;-14.046;20.118;35.152;-11.459;21.650;37.901;-9.323;23.307;39.949;-8.040;24.259;41.411;-14.067;17.916;27.541;-14.254;22.271;33.790;-12.013;23.883;36.528;-10.234;25.048;38.407;-8.849;25.629;39.823;-13.279;19.001;29.102;-11.139;21.857;30.577;-9.117;22.399;32.356;-7.512;24.685;32.450;1.177;39.287;2.171;15.391;36.717;3.363;20.800;23.252;2.045;26.778;8.369;0.587;20.870;8.508;12.102;13.950;8.440;26.341;14.304;6.742;27.359;13.880;5.050;33.623;12.772;4.290;36.272;11.106;3.639;38.133;9.993;3.409;39.404;14.113;7.631;27.447;14.292;7.445;33.996;12.168;6.565;37.728;9.722;5.774;39.845;8.082;5.380;41.092;13.479;8.577;27.712;13.669;9.633;34.522;11.703;8.965;38.673;9.462;8.229;40.576;7.635;7.883;41.725;13.209;9.432;27.499;12.608;11.857;34.306;11.236;11.654;37.892;9.697;10.811;39.802;8.130;10.140;41.238;12.410;10.188;27.854;10.849;12.903;30.338;9.828;13.541;33.536;8.227;14.794;35.391;0.000;0.000;0.000;-7.381;-12.195;2.327;-9.321;-24.876;19.986;-11.594;-39.764;40.714;-10.154;-71.605;7.238;7.758;-12.308;0.853;12.356;-25.520;18.444;17.750;-41.030;39.095;12.060;-71.496;5.523
1294.000;51.760;-0.120;7.741;-1.228;-0.180;15.161;-0.553;-0.217;28.468;2.957;-0.563;44.342;3.812;-0.352;48.193;7.367;0.109;54.239;9.522;-6.650;58.498;10.331;7.078;58.210;9.135;-2.377;61.019;17.280;4.179;60.881;16.709;-2.125;39.264;2.060;-16.011;37.482;4.533;-20.195;24.197;5.678;-24.821;9.514;6.943;-19.306;15.030;16.811;-12.928;21.555;28.285;-13.457;20.350;29.897;-11.219;23.232;36.094;-9.732;25.111;36.870;-8.008;26.834;37.839;-6.918;28.076;38.095;-13.803;21.026;29.523;-13.215;24.724;35.668;-10.405;27.250;37.316;-8.714;29.212;38.742;-7.526;30.519;39.772;-12.896;22.135;28.766;-14.018;26.727;34.418;-11.345;28.839;36.591;-9.182;30.982;38.028;-7.832;32.281;39.115;-13.112;22.771;27.915;-14.155;28.492;32.569;-11.906;30.754;34.793;-10.131;32.356;36.307;-8.804;33.282;37.589;-12.552;24.145;29.204;-10.567;27.177;30.394;-8.791;28.010;32.315;-6.977;30.135;32.280;1.099;39.341;1.934;15.311;36.894;3.218;20.914;23.437;2.556;27.107;8.563;1.825;20.159;8.018;12.816;11.915;7.113;26.438;12.383;5.401;27.321;11.425;2.838;33.231;10.214;1.488;35.554;8.593;0.248;37.114;7.453;-0.372;38.221;12.041;6.235;27.472;11.290;5.199;33.918;8.962;3.337;37.103;6.504;1.803;38.782;4.908;0.924;39.820;11.251;7.088;27.721;10.234;7.195;34.582;7.944;5.541;38.252;5.704;4.198;39.792;3.881;3.416;40.711;10.880;7.916;27.561;8.764;9.205;34.409;6.893;8.215;37.602;5.348;6.867;39.134;3.726;5.760;40.187;9.920;8.394;27.878;7.269;9.963;30.480;5.670;9.446;33.482;3.543;9.702;35.209;0.000;0.000;0.000;-7.384;-12.173;2.431;-9.332;-24.841;20.088;-11.615;-39.713;40.816;-10.171;-71.562;7.338;7.752;-12.307;0.926;12.328;-25.491;18.526;17.697;-40.969;39.186;12.044;-71.455;5.623
1295.000;51.800;-0.119;7.730;-1.290;-0.180;15.154;-0.679;-0.224;28.486;2.713;-0.613;44.361;3.530;-0.390;48.190;7.242;0.056;54.070;9.809;-6.679;58.338;10.759;7.023;58.030;9.301;-2.269;60.831;17.632;4.274;60.684;16.936;-2.173;39.274;1.803;-16.036;37.492;4.476;-19.791;24.308;7.551;-23.940;9.738;10.950;-18.507;17.454;19.152;-12.161;26.549;28.608;-12.992;25.836;30.379;-11.625;30.233;35.719;-10.018;32.122;35.981;-8.216;34.036;36.327;-7.036;35.218;36.263;-13.290;26.372;29.795;-13.563;31.456;34.652;-10.632;34.183;35.608;-8.880;36.417;36.480;-7.698;37.930;37.184;-12.226;27.214;28.993;-14.156;32.999;32.729;-11.566;35.542;34.347;-9.326;37.865;35.383;-7.996;39.373;36.187;-12.256;27.595;27.970;-13.984;34.205;30.539;-11.841;36.934;32.219;-10.054;38.820;33.381;-8.771;40.016;34.470;-11.839;29.096;28.912;-10.161;32.425;29.756;-8.821;33.790;31.763;-6.865;35.781;31.897;1.050;39.360;1.653;15.251;37.003;3.004;21.024;23.550;3.270;27.404;8.680;3.564;19.166;7.590;13.689;9.322;6.028;26.262;9.900;4.378;27.156;7.959;1.101;32.454;6.494;-0.715;34.227;4.895;-2.392;35.355;3.763;-3.319;36.232;9.416;5.145;27.269;7.308;3.293;33.255;4.553;0.616;35.320;2.228;-1.496;36.376;0.682;-2.760;37.018;8.392;5.842;27.389;5.789;5.117;33.749;3.012;2.719;36.541;0.787;0.923;37.489;-1.016;-0.207;37.987;7.932;6.614;27.183;4.095;6.894;33.300;1.634;5.079;35.640;0.006;3.326;36.642;-1.563;1.913;37.353;6.883;6.767;27.319;3.344;7.016;29.223;1.430;5.564;31.658;-0.975;4.906;32.824;0.000;0.000;0.000;-7.391;-12.144;2.550;-9.326;-24.803;20.203;-11.593;-39.666;40.926;-10.177;-71.515;7.449;7.740;-12.309;1.002;12.319;-25.464;18.602;17.691;-40.908;39.264;12.038;-71.419;5.723
